ZonÄƒApartament,id,NumarAnunturi,PretMediu,PretMinim,PretMaxim,MetriPartrati_InMedie,PretMediu_MetruPatrat
"Timisoara, zona Lipovei",13,202,77796.2178,42000,120000,50.61995051166799,1373.076923076923
"Timisoara, zona Torontalului",23,99,88634.8384,52200,140000,56.030838359485976,1835.5917398534907
"Timisoara, zona Iosefin",30,76,86315.4868,48790,310000,62.9873682323255,1580.0
"Timisoara, zona Aradului",62,215,84939.4326,57000,149000,54.20116282618323,1450.0
"Timisoara, zona Complex Studentesc",86,116,75521.1207,56000,170000,50.183534457765774,1570.0
"Timisoara, zona Blascovici",209,26,60599.9615,49000,72500,44.46153846153846,1140.0
"Timisoara, zona Fabric",269,18,80233.3333,66000,99000,59.44444444444444,1239.655172413793
"Timisoara, zona Elisabetin",371,19,81947.3684,45000,120000,54.68421052631579,1562.5
"Timisoara, zona Dorobantilor",481,40,74254.5,52000,100000,53.935249996185306,1560.4166666666667
"Timisoara, zona Cetatii",1088,9,84178.8889,70000,92805,56.97777811686198,1400.0
"Timisoara, zona Telegrafului",1229,8,82062.5,69000,99500,52.25,1755.5555555555557
